sol_id,fuel_total_L,avg_cycle_min,utilization_pct,schedule_adh_pct,cv_sum,rank,crowding
43,4657,24.8,69.7,90.4,0.0,11,.9176
44,3331,22.4,78.9,90.1,0.0,8,.5659
45,3741,35.3,57.4,96.4,0.0,7,.6268
46,3991,38.3,78.2,93.7,0.0,19,.0338
47,4817,24.9,81.3,90.0,0.0,12,.4168
48,4466,37.7,77.5,97.8,0.0,4,.8471
49,4862,38.8,75.2,96.4,0.0,10,.6153
50,3435,27.9,80.9,96.4,0.0,10,.5732
51,4654,28.3,65.1,97.3,0.0,16,.0122
52,4828,36.3,83.6,96.5,0.0,11,.5160
53,3630,23.0,56.6,96.4,0.0,1,.4034
54,3589,33.0,81.0,98.6,0.0,5,.7337
55,4677,34.5,80.5,99.4,0.0,5,.4126
56,4298,29.7,81.0,98.8,0.0,18,.4782
57,4814,36.6,62.7,96.0,0.0,11,.5441
58,4106,24.2,81.4,98.8,0.0,2,.8045
59,3762,32.8,72.8,96.0,0.0,12,.4113
60,4696,33.6,72.7,91.9,0.0,6,.1336
61,4410,39.0,67.1,90.9,0.0,4,.1657
62,3245,30.6,62.2,92.1,0.0,4,.4629
63,4148,31.0,74.1,97.2,0.0,18,.7829
64,4074,24.1,56.4,90.3,0.0,16,.6890
65,3704,25.5,60.5,99.8,0.0,10,.4117
66,4170,37.0,83.7,93.5,0.0,1,.6300
67,3640,26.5,62.4,98.8,0.0,18,.9773
68,3625,29.3,64.6,93.8,0.0,18,.5403
69,3711,25.1,61.1,91.3,0.0,3,.5941
70,4913,30.9,67.3,99.4,0.0,20,.7647
71,4689,24.5,58.9,95.2,0.0,5,.2595
72,4021,33.7,77.2,98.7,0.0,19,.0281
73,4564,27.3,66.1,94.2,0.0,20,.5196
74,4480,26.3,83.0,98.1,0.0,6,.4621
75,4606,22.6,78.0,93.1,0.0,14,.7911
76,3491,32.8,68.9,93.6,0.0,13,.7828
77,3961,38.4,77.8,97.1,0.0,4,.3219
78,4109,34.9,79.4,93.3,0.0,5,.1106
79,3747,21.7,84.8,90.2,0.0,19,.5547
80,4111,27.7,74.6,97.8,0.0,16,.7778
81,3779,25.9,74.3,98.7,0.0,2,.5702
82,4233,25.6,60.4,98.7,0.0,19,.4889
83,4647,24.6,84.1,92.4,0.0,17,.2278
84,4790,30.2,61.1,91.1,0.0,3,.0103
85,4662,30.9,78.2,95.9,0.0,16,.8952
86,4659,22.4,78.9,96.4,0.0,5,.6077
87,4456,38.7,68.3,95.3,0.0,16,.3845
88,3539,28.1,64.7,99.9,0.0,3,.1571
89,4891,23.6,67.2,92.8,0.0,4,.3982
90,4139,29.9,60.5,97.5,0.0,11,.7887
91,4571,24.1,81.3,93.2,0.0,11,.0734
92,4684,31.9,68.4,96.5,0.0,19,.7920
93,3926,37.4,79.8,94.8,0.0,16,.6237
94,4689,31.2,60.8,98.6,0.0,18,.4533
95,4032,37.6,77.1,97.7,0.0,20,.5047
96,3485,35.1,79.1,96.2,0.0,17,.4585
97,4124,30.0,83.1,90.7,0.0,16,.5123
98,3719,35.7,60.2,99.3,0.0,8,.6185
99,4745,21.5,76.9,93.9,0.0,18,.0061
100,4449,33.4,70.1,93.2,0.0,3,.6858
101,3415,39.4,68.8,94.1,0.0,18,.2772
102,3831,24.7,66.6,95.7,0.0,1,.5929
103,3979,38.2,60.3,95.3,0.0,15,.8808
104,4609,20.3,65.1,91.7,0.0,19,.9349
105,4190,37.0,69.6,91.8,0.0,15,.5521
106,4240,29.5,68.2,96.8,0.0,12,.8089
107,3399,30.2,61.8,97.1,0.0,1,.8844
108,4302,34.1,63.5,91.0,0.0,14,.8134
109,3435,22.8,73.4,94.7,0.0,5,.2157
110,3709,21.0,61.0,99.0,0.0,5,.5835
111,3405,25.5,77.2,92.2,0.0,20,.4678
112,4926,30.3,67.8,96.5,0.0,5,.7473
113,3279,25.4,57.6,99.6,0.0,1,.6797
114,3242,35.0,67.1,94.3,0.0,7,.4120
115,4708,29.9,65.2,93.3,0.0,20,.6346
116,3439,29.5,63.5,93.3,0.0,14,.3399
117,4155,22.4,55.7,96.5,0.0,1,.3123
118,3740,23.5,73.7,98.8,0.0,10,.4613
119,4011,37.0,70.0,90.4,0.0,2,.9328
120,4530,27.0,68.7,97.4,0.0,16,.7314
121,3720,33.4,58.7,91.4,0.0,2,.4622
122,4635,39.2,73.2,92.8,0.0,12,.2146
123,3337,38.4,57.0,94.0,0.0,4,.1697
124,4371,34.1,80.5,93.4,0.0,16,.9764
125,3248,27.2,81.0,91.1,0.0,12,.7972
126,4983,33.9,67.7,90.7,0.0,12,.5802
127,4590,38.7,62.4,97.4,0.0,18,.1482
128,4793,24.0,82.4,99.1,0.0,8,.3371
129,4340,22.4,63.8,98.2,0.0,8,.0653
130,4299,32.3,77.6,91.3,0.0,19,.5717
131,4150,26.5,59.7,94.6,0.0,7,.2008
132,3281,29.1,56.8,99.3,0.0,14,.4892
133,4226,35.6,60.4,94.1,0.0,7,.4296
134,3890,29.7,67.1,96.1,0.0,11,.9157
135,3551,32.3,59.9,94.0,0.0,19,.8155
136,4904,33.3,59.2,99.5,0.0,3,.1517
137,3302,39.1,80.0,94.6,0.0,17,.2260
138,3407,24.7,78.4,94.5,0.0,16,.1028
139,4347,27.7,57.0,90.0,0.0,8,.8084
140,4130,39.3,83.7,94.7,0.0,9,.0759
141,3467,31.7,78.9,97.2,0.0,18,.3532
142,4102,29.5,77.0,91.7,0.0,10,.0689
143,3512,23.8,72.9,97.0,0.0,4,.8719
144,4324,32.2,77.6,92.6,0.0,7,.8993
145,4665,35.6,80.1,92.4,0.0,15,.3781
146,3904,26.8,73.2,94.4,0.0,12,.9912
147,3465,38.4,61.6,99.2,0.0,6,.4092
148,3721,24.9,64.9,93.8,0.0,18,.5661
149,4582,29.8,60.2,98.0,0.0,2,.2400
150,3487,35.9,77.9,97.9,0.0,5,.7920
151,4221,31.0,55.4,95.3,0.0,10,.4053
152,3994,26.7,82.5,99.7,0.0,17,.6427
153,3912,35.1,72.1,97.9,0.0,17,.8032
154,4188,39.7,78.6,92.1,0.0,1,.3656
155,4782,37.3,62.7,94.8,0.0,14,.5321
156,4277,20.1,82.2,90.0,0.0,4,.0717
157,3472,30.6,55.5,98.8,0.0,5,.6657
158,4051,34.8,77.5,98.2,0.0,15,.6415
159,4350,31.5,78.2,98.3,0.0,18,.6275
160,4827,39.2,67.2,97.6,0.0,19,.9196
161,3645,36.3,57.6,98.7,0.0,15,.8207
162,4684,24.7,83.0,93.1,0.0,20,.3321
163,3265,20.5,68.9,99.6,0.0,7,.8778
164,4019,28.0,59.0,90.4,0.0,15,.7007
165,3769,29.5,80.6,94.7,0.0,15,.2001
166,3930,39.7,71.2,97.5,0.0,3,.8797
167,3239,36.2,62.0,96.9,0.0,15,.3165
168,4715,36.4,69.7,97.0,0.0,14,.8238
169,3227,30.1,76.6,92.2,0.0,5,.3075
170,4065,20.2,83.8,95.5,0.0,14,.7836
171,4037,27.4,80.1,98.8,0.0,9,.0054
172,4220,25.5,61.5,94.2,0.0,5,.9689
173,4534,32.8,71.8,95.1,0.0,15,.5204
174,3320,29.5,59.8,91.2,0.0,1,.1762
175,3626,24.8,73.6,98.1,0.0,1,.1848
176,3612,23.2,83.2,97.6,0.0,1,.7087
177,4457,20.4,68.9,90.9,0.0,6,.5223
178,3536,29.1,57.4,99.8,0.0,12,.4254
179,3720,27.1,73.6,90.8,0.0,7,.5056
180,4489,20.4,75.1,94.6,0.0,7,.8275
181,4067,38.1,77.8,92.3,0.0,15,.4866
182,3727,23.2,68.1,99.3,0.0,5,.5662
183,4246,35.7,60.9,94.0,0.0,12,.5345
184,3593,26.3,67.4,91.2,0.0,14,.3091
185,4787,27.9,66.6,91.8,0.0,11,.6993
186,3437,24.7,74.9,98.0,0.0,20,.9773
187,3904,35.1,57.4,96.4,0.0,2,.6602
188,4475,30.5,73.7,99.4,0.0,4,.8593
189,4298,20.1,82.6,96.8,0.0,15,.9619
190,3284,27.6,75.7,91.3,0.0,19,.0918
191,3600,23.5,73.0,92.6,0.0,12,.7721
192,3945,31.6,72.9,93.5,0.0,11,.9185
193,4442,25.5,70.1,99.1,0.0,1,.3029
194,3938,32.2,56.4,99.1,0.0,10,.8024
195,3796,26.4,80.5,99.5,0.0,1,.7709
196,3912,29.2,56.2,98.7,0.0,18,.9147
197,3297,31.5,58.3,92.4,0.0,20,.8746
198,3867,37.7,80.6,90.3,0.0,2,.3359
199,4465,28.1,58.8,92.5,0.0,20,.7319
200,3715,26.5,60.3,97.2,0.0,15,.6635
