ts,bim_x,bim_y,bim_z,speed,imu_ax_mean,imu_ay_mean,imu_az_mean,imu_ax_std,imu_ay_std,imu_az_std,imu_gx_mean,imu_gy_mean,imu_gz_mean,imu_gx_std,imu_gy_std,imu_gz_std,fuel_lph,rpm,hyd_bar
1710489611,90.40,68.80,378,8.80,.6387,.9341,9.8609,.0736,.0402,.0762,.0814,.0421,.0534,.0051,.0721,.0939,39.4,2181,172
1710489612,62.50,44.20,299,11.80,.4226,-.1949,9.7886,.0016,.0515,.0883,.0951,-.0653,-.0766,.0581,.0352,.0718,33.3,1501,242
1710489613,27.40,17.20,383,11.20,.7624,.0834,9.8461,.0008,.0179,.0831,.0312,-.0202,.0239,.0881,.0779,.0243,39.9,1601,290
1710489614,20.70,11.20,308,.50,.5287,-.3161,9.8407,.0544,.0412,.0376,.0494,-.0062,-.0814,.0255,.0634,.0018,32.7,1309,229
1710489615,90.00,63.20,311,9.90,-.6403,-.3540,9.8491,.0094,.0845,.0372,.0344,.0549,.0456,.0199,.0568,.0118,17.5,1723,187
1710489616,72.50,4.20,404,4.30,.5980,-.1114,9.8553,.0565,.0838,.0082,-.0703,-.0500,-.0633,.0299,.0103,.0814,18.0,1990,176
1710489617,52.60,18.20,392,8.70,.6766,-.5883,9.8699,.0573,.0041,.0600,.0330,-.0796,.0992,.0402,.0510,.0568,31.6,2093,126
1710489618,73.20,15.50,400,5.40,.7843,-.2966,9.8747,.0779,.0969,.0981,.0760,-.0591,.0303,.0923,.0128,.0391,5.0,1847,213
1710489619,21.30,63.70,335,10.30,.1664,.4230,9.8353,.0614,.0313,.0414,-.0882,.0894,-.0902,.0913,.0854,.0360,5.2,1498,130
1710489620,9.70,61.60,362,1.90,-.6723,-.6936,9.8709,.0733,.0219,.0027,-.0335,-.0159,-.0328,.0088,.0597,.0249,30.4,846,249
1710489621,15.10,49.50,370,4.60,.8462,.0611,9.8135,.0713,.0946,.0250,.0736,-.0659,.0767,.0080,.0765,.0032,11.9,1918,264
1710489622,92.10,30.30,286,9.40,-.6419,.1640,9.8184,.0847,.0862,.0407,-.0139,.0972,-.0142,.0164,.0110,.0715,9.3,1207,186
1710489623,7.50,54.10,322,7.90,-.3665,-.7158,9.8693,.0748,.0731,.0660,.0929,-.0887,.0143,.0524,.0535,.0811,17.3,1919,223
1710489624,27.70,31.10,403,4.80,-.8960,-.7305,9.8783,.0192,.0177,.0995,.0174,-.0588,-.0503,.0914,.0689,.0906,19.8,1854,162
1710489625,68.70,26.20,327,4.50,-.7630,-.4818,9.8014,.0726,.0778,.0595,-.0885,-.0097,.0517,.0222,.0482,.0882,20.1,1304,227
1710489626,28.50,7.50,344,8.20,.4272,.3480,9.8266,.0068,.0126,.0682,-.0366,.0164,-.0872,.0135,.0898,.0638,7.5,1116,191
1710489627,6.50,3.20,328,11.90,-.0571,.6002,9.7942,.0383,.0661,.0094,.0064,.0291,-.0790,.0351,.0240,.0638,10.7,926,295
1710489628,45.70,69.10,387,11.30,.9564,.1102,9.8693,.0814,.0071,.0030,-.0389,.0513,-.0320,.0741,.0879,.0108,33.3,1629,159
1710489629,2.60,46.80,393,5.50,-.2661,-.0494,9.8569,.0211,.0051,.0238,.0244,.0835,.0439,.0352,.0302,.0869,5.1,1932,171
1710489630,21.80,53.10,393,5.20,-.1288,-.3853,9.8011,.0241,.0782,.0454,-.0465,.0711,.0826,.0616,.0430,.0572,13.8,1272,258
1710489631,80.40,77.40,350,5.60,.4650,-.0397,9.8770,.0150,.0880,.0913,.0717,-.0312,-.0596,.0156,.0059,.0488,34.7,1236,225
1710489632,88.00,21.20,306,2.10,-.5575,.7647,9.8016,.0691,.0876,.0483,.0065,-.0469,-.0282,.0008,.0758,.0696,14.1,958,136
1710489633,7.60,21.70,364,1.50,-.6192,-.8999,9.8435,.0455,.0519,.0626,-.0087,.0679,-.0441,.0788,.0698,.0703,6.2,1413,237
1710489634,10.70,72.20,392,1.00,-.0375,-.5279,9.8013,.0072,.0024,.0393,-.0617,.0375,-.0834,.0661,.0676,.0837,12.4,984,182
1710489635,64.20,20.50,392,8.10,-.8018,-.0083,9.7860,.0086,.0081,.0683,-.0114,.0407,-.0306,.0622,.0834,.0748,31.4,1424,293
1710489636,73.80,53.60,401,1.20,.2742,.0338,9.8301,.0568,.0512,.0579,.0122,.0972,-.0232,.0140,.0165,.0190,33.7,1561,151
1710489637,16.50,64.20,394,6.20,-.6354,.0088,9.8699,.0842,.0132,.0407,-.0297,-.0441,.0788,.0633,.0547,.0472,26.1,1253,172
1710489638,90.20,14.70,322,11.00,.1526,-.4185,9.8341,.0409,.0590,.0595,.0478,.0592,.0912,.0595,.0354,.0854,14.8,1903,237
1710489639,70.30,46.90,341,10.20,-.4100,-.8656,9.7975,.0352,.0206,.0579,-.0306,.0249,-.0753,.0341,.0824,.0480,39.5,869,207
1710489640,74.20,49.20,298,1.90,-.3159,.7670,9.8387,.0954,.0529,.0033,.0885,.0193,-.0170,.0962,.0030,.0366,16.0,2046,275
1710489641,67.60,53.00,378,9.80,.4457,.1829,9.7911,.0314,.0108,.0361,.0279,-.0724,.0551,.0727,.0877,.0536,26.5,1283,265
1710489642,72.00,4.40,391,9.00,.9415,.8352,9.8100,.0483,.0893,.0389,-.0495,-.0850,.0111,.0127,.0920,.0098,31.5,851,257
1710489643,48.30,2.20,337,7.90,-.6914,-.2748,9.8287,.0292,.0290,.0703,.0350,.0125,.0262,.0423,.0889,.0189,34.8,964,128
1710489644,18.30,49.60,357,9.30,.8062,-.8981,9.8748,.0555,.0131,.0520,.0362,-.0189,.0227,.0315,.0425,.0106,18.4,1253,120
1710489645,80.40,79.70,395,6.90,-.6932,-.2727,9.7849,.0067,.0612,.0572,-.0669,.0566,.0043,.0580,.0362,.0582,13.7,1922,240
1710489646,48.30,16.80,316,10.00,.6829,.0251,9.8527,.0595,.0326,.0397,.0520,-.0803,.0123,.0503,.0580,.0990,29.4,1431,203
1710489647,81.60,4.70,309,6.20,.9272,-.6324,9.8501,.0594,.0021,.0264,-.0897,.0086,.0157,.0203,.0233,.0474,27.6,1032,137
1710489648,.80,9.80,363,.70,.8851,.7690,9.8665,.0942,.0510,.0523,.0299,.0780,.0611,.0087,.0100,.0400,24.3,1166,190
1710489649,51.90,14.50,310,6.90,.5080,.5816,9.8385,.0815,.0511,.0996,.0362,-.0146,-.0563,.0457,.0874,.0900,34.6,1447,145
1710489650,56.20,71.30,404,.50,-.3782,.3458,9.8717,.0924,.0940,.0751,.0642,-.0291,.0553,.0314,.0562,.0351,19.7,871,186
