ts,bim_x,bim_y,bim_z,speed,imu_ax_mean,imu_ay_mean,imu_az_mean,imu_ax_std,imu_ay_std,imu_az_std,imu_gx_mean,imu_gy_mean,imu_gz_mean,imu_gx_std,imu_gy_std,imu_gz_std,fuel_lph,rpm,hyd_bar
1710489639,48.00,42.70,382,8.50,-.1043,-.1049,9.8578,.0269,.0087,.0302,.0535,-.0701,.0250,.0250,.0116,.0872,12.9,1341,188
1710489640,38.40,79.80,392,8.00,.4726,.7189,9.8071,.0863,.0700,.0561,.0453,-.0385,-.0688,.0517,.0724,.0017,6.5,1785,241
1710489641,3.10,9.30,303,6.00,.8212,.9318,9.8306,.0879,.0482,.0318,.0854,.0430,-.0028,.0908,.0346,.0349,20.5,1826,268
1710489642,59.90,36.10,294,4.80,.2279,.1738,9.8613,.0090,.0978,.0829,.0632,-.0134,-.0067,.0915,.0237,.0947,30.4,1308,156
1710489643,40.20,67.70,299,9.00,-.0548,-.4684,9.8297,.0330,.0187,.0179,.0079,.0179,.0270,.0497,.0492,.0219,13.9,1058,274
1710489644,17.70,1.80,391,8.90,-.4263,.8029,9.8102,.0771,.0451,.0811,-.0086,-.0870,-.0547,.0469,.0045,.0550,11.8,1071,175
1710489645,39.80,52.50,386,4.70,-.1002,-.4128,9.7986,.0767,.0823,.0621,-.0639,.0723,-.0187,.0708,.0093,.0594,32.1,831,158
1710489646,76.50,78.00,359,11.50,-.2764,.7006,9.7926,.0731,.0699,.0274,-.0555,-.0414,-.0109,.0206,.0977,.0942,15.3,1171,197
1710489647,90.30,10.20,310,10.30,-.4385,.9774,9.7893,.0665,.0564,.0577,.0244,.0773,-.0270,.0011,.0524,.0202,35.7,1906,280
1710489648,44.90,6.90,338,7.90,-.3521,.3198,9.8125,.0302,.0423,.0077,.0536,-.0606,-.0218,.0497,.0915,.0828,21.4,1678,209
1710489649,78.70,19.00,301,6.20,.9718,-.3042,9.8199,.0997,.0845,.0454,-.0695,.0285,.0433,.0126,.0885,.0823,14.3,883,185
1710489650,6.40,46.30,371,0,-.8989,.4515,9.8784,.0271,.0393,.0916,.0473,.0842,.0769,.0005,.0522,.0245,25.0,858,143
