ts,bim_x,bim_y,bim_z,speed,imu_ax_mean,imu_ay_mean,imu_az_mean,imu_ax_std,imu_ay_std,imu_az_std,imu_gx_mean,imu_gy_mean,imu_gz_mean,imu_gx_std,imu_gy_std,imu_gz_std,fuel_lph,rpm,hyd_bar
1710489617,41.80,1.00,306,11.40,-.5100,-.5908,9.8759,.0964,.0792,.0561,.0856,.0620,.0111,.0123,.0973,.0977,7.1,1187,220
1710489618,40.10,38.80,350,2.70,.7871,.4797,9.7839,.0835,.0579,.0163,.0066,.0673,.0498,.0291,.0201,.0653,17.0,1928,277
1710489619,46.40,40.30,299,3.90,.3079,-.8973,9.7992,.0211,.0666,.0110,.0600,.0995,.0568,.0472,.0879,.0386,23.2,1832,171
1710489620,76.90,4.00,327,5.20,.4296,.3954,9.8403,.0422,.0944,.0489,.0754,-.0219,-.0850,.0322,.0406,.0411,20.6,1581,279
1710489621,60.50,49.00,303,1.10,-.8146,.1608,9.8744,.0980,.0019,.0274,-.0368,.0816,.0953,.0006,.0372,.0708,30.6,1627,259
1710489622,33.60,61.80,355,3.70,-.2095,-.4823,9.8377,.0480,.0311,.0492,.0560,-.0039,.0991,.0009,.0364,.0346,13.1,1601,262
1710489623,45.90,27.20,291,5.70,.2322,-.9931,9.7960,.0122,.0604,.0834,-.0216,-.0944,-.0648,.0519,.0710,.0121,21.6,2135,250
1710489624,45.60,.80,365,8.10,.5114,-.6987,9.8230,.0172,.0335,.0897,-.0576,-.0263,.0828,.0061,.0223,.0673,28.2,1632,285
1710489625,63.80,8.00,357,2.30,.0579,-.3666,9.8359,.0804,.0861,.0108,.0655,-.0464,-.0049,.0344,.0976,.0625,19.9,880,203
1710489626,24.40,52.60,298,11.50,-.7630,.6969,9.8391,.0216,.0187,.0614,-.0839,-.0134,-.0175,.0544,.0762,.0130,28.1,978,198
1710489627,16.70,37.70,311,7.70,-.2259,.8316,9.8647,.0090,.0373,.0155,-.0500,.0450,-.0139,.0140,.0804,.0735,9.2,899,253
1710489628,83.90,61.20,310,8.90,-.4742,-.3168,9.8191,.0382,.0336,.0104,-.0326,.0803,.0053,.0723,.0024,.0173,24.6,1119,129
1710489629,45.80,3.80,356,3.80,-.2241,-.3461,9.8004,.0001,.0774,.0830,.0743,-.0439,.0018,.0289,.0596,.0274,22.0,2104,177
1710489630,47.70,10.80,299,6.30,.7075,.7635,9.7841,.0936,.0728,.0176,.0082,.0755,.0699,.0574,.0650,.0197,33.5,1284,250
1710489631,97.80,38.80,289,2.80,.0750,-.6473,9.8474,.0606,.0141,.0519,.0550,.0659,-.0661,.0113,.0539,.0525,23.0,1687,131
1710489632,4.80,9.30,305,4.40,.5698,-.4625,9.8478,.0485,.0939,.0520,-.0065,.0029,.0790,.0723,.0369,.0133,17.5,1672,180
1710489633,97.10,48.50,328,2.70,.4296,-.9501,9.8356,.0109,.0278,.0879,.0570,.0600,-.0387,.0158,.0069,.0735,18.2,949,233
1710489634,10.20,41.20,394,8.70,.5347,.2043,9.8231,.0686,.0310,.0309,.0417,-.0935,.0788,.0577,.0299,.0574,24.4,836,199
1710489635,32.60,26.10,300,7.90,.7488,-.9029,9.7835,.0395,.0197,.0103,.0959,-.0182,.0713,.0500,.0243,.0066,19.2,1193,202
1710489636,77.70,3.20,300,6.60,.9992,-.8978,9.7928,.0851,.0240,.0658,.0831,-.0303,-.0487,.0230,.0109,.0471,22.9,964,256
1710489637,72.80,20.90,389,8.80,.7061,.9539,9.8619,.0166,.0120,.0077,.0719,.0086,.0979,.0921,.0306,.0515,38.3,2123,180
1710489638,23.40,45.80,319,7.80,.9501,.7307,9.8063,.0525,.0286,.0077,-.0379,-.0955,.0176,.0773,.0578,.0216,37.9,2092,180
1710489639,77.10,19.90,302,11.40,-.2824,-.4047,9.8099,.0106,.0399,.0690,-.0416,-.0626,-.0794,.0770,.0480,.0040,15.7,1472,202
1710489640,48.10,20.60,307,7.00,-.4866,-.9468,9.8631,.0484,.0848,.0915,-.0983,-.0995,.0888,.0940,.0695,.0750,18.8,1824,231
1710489641,2.20,77.30,382,9.70,.0055,-.8826,9.7841,.0057,.0824,.0068,.0506,-.0522,.0654,.0841,.0484,.0182,18.7,806,203
1710489642,36.60,24.70,397,6.90,.7480,.6004,9.8319,.0976,.0843,.0990,-.0673,-.0440,-.0274,.0212,.0388,.0720,7.4,1481,213
1710489643,42.60,72.90,310,10.30,.4811,.9499,9.8215,.0048,.0580,.0839,.0953,-.0497,-.0467,.0060,.0524,.0731,19.4,1436,260
1710489644,16.40,14.20,350,4.00,.1545,-.1080,9.8087,.0593,.0851,.0613,.0260,.0380,-.0584,.0788,.0154,.0009,5.0,816,277
1710489645,21.80,53.00,395,.30,.5739,-.0738,9.8356,.0805,.0886,.0588,.0047,-.0068,-.0469,.0216,.0166,.0864,28.7,2106,275
1710489646,97.00,39.70,384,2.40,.5775,-.6856,9.8743,.0053,.0330,.0188,.0630,.0031,.0892,.0762,.0157,.0285,25.1,850,208
1710489647,86.10,36.90,347,8.70,-.8657,.4188,9.8533,.0200,.0392,.0135,.0653,-.0207,.0959,.0480,.0452,.0337,26.3,1829,208
1710489648,59.30,3.90,372,7.60,-.9905,-.9632,9.8552,.0541,.0726,.0128,-.0288,-.0408,.0833,.0394,.0788,.0270,19.8,833,218
1710489649,59.10,40.90,295,6.30,-.7069,.2086,9.8600,.0493,.0795,.0974,-.0466,-.0766,.0304,.0222,.0748,.0851,37.1,1733,291
1710489650,60.50,11.40,380,8.70,.2122,.4148,9.8280,.0932,.0332,.0383,.0072,-.0177,.0559,.0824,.0876,.0682,33.3,1812,145
